Item,TransDate,QntyIn,QntyOut,TransVal,Rejected,Returned,Balance,Balance2,TransNo,RunnVal,TransRefNo,GRN,RevGRN,MINTrans,RevMIN,Disposal,Lse,Profit,AvgPrice,TransPrice,Remarks,Company,BinLoc
"5817","09/22/25 00:00:00",10,0,77000,0,0,10,0,1,0,"7725",1,0,0,0,0,0,,7700,7700,"Received","01","Z001"
"5817","10/29/25 00:00:00",37,0,268250,0,0,41,0,4,0,"9425",1,0,0,0,0,0,,7293.90243902439,7250,"Received","01","Z001"
"5817","11/03/25 00:00:00",0,2,20000,0,0,35,0,7,0,"2925",0,0,1,0,0,0,5412.195121951219,7293.90243902439,10000,"Sold","01","Z001"
"5817","12/20/25 00:00:00",0,4,40000,0,0,23,0,10,0,"6225",0,0,1,0,0,0,10824.39024390244,7293.90243902439,10000,"Sold","01","Z001"
"5817","12/23/25 00:00:00",0,2,20000,0,0,21,0,11,0,"6425",0,0,1,0,0,0,5412.195121951219,7293.90243902439,10000,"Sold","01","Z001"
"5817","10/29/25 00:00:00",0,3,38022.8408203125,0,0,38,0,5,0,"7025",0,0,1,0,0,0,16141.13350323933,7293.90243902439,12674.2802734375,"Sold","01","Z001"
"5817","12/30/25 00:00:00",0,13,125542.853515625,0,0,8,0,12,0,"7125",0,0,1,0,0,0,30722.12180830793,7293.90243902439,9657.142578125,"Sold","01","Z001"
"5817","11/02/25 00:00:00",0,1,9500,0,0,37,0,6,0,"3025",0,0,1,0,0,0,2206.09756097561,7293.90243902439,9500,"Sold","01","Z001"
"5817","09/23/25 00:00:00",0,2,22000,0,0,8,0,2,0,"125",0,0,1,0,0,0,6600,7700,11000,"Sold","01","Z001"
"5817","10/20/25 00:00:00",0,4,40000,0,0,4,0,3,0,"1925",0,0,1,0,0,0,9200,7700,10000,"Sold","01","Z001"
"5817","11/21/25 00:00:00",0,6,55200,0,0,29,0,8,0,"3825",0,0,1,0,0,0,11436.58536585366,7293.90243902439,9200,"Sold","01","Z001"
"5817","12/03/25 00:00:00",0,2,20000,0,0,27,0,9,0,"7525",0,0,1,0,0,0,5412.195121951219,7293.90243902439,10000,"Sold","01","Z001"
