CodeNo,Name,Address,Tel,PIN,VAT,CPerson,Pos,Supplier,Age30,Age60,Age90,AgeOver,OPBal,TotalDue,Pick,Company,BBF01,BBF02,BBF03,BBF04,BBF05,BBF06,BBF07,BBF08,BBF09,BBF10,EMail,Def,Client
341,"CASH AC",,,,,,"42.",0,318170.21,202425.05,0,20720.04999999999,0,541315.3099999999,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
342,"TASLAM ENERGY SOLUTIONS LTD",,,,,,,0,270617.49,1383326.410000001,666461.48,-5977.459999999963,0,2314427.920000001,0,1,0,0,0,0,0,0,0,0,0,0,,0,1
343,"COAST CABLES LTD","87569-80100 MOMBASA","0733361153","P051092166Y","0012701U","ATUL, ADASH","4.",1,0,0,1451798.73,512917.7,0,1964716.43,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
344,"ASL LIMITED","LUSAKA ROAD","0733637989","P0006092890","0010149A","SALES MARTHA","1.",1,0,0,0,-0.01,0,-0.01000000000203727,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
345,"CHLORIDE EXIDE","MOMBASA ","0754115511","P000594959K",,"SHEIKH ","3.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
346,"COSTWISE ELECTRICALS LTD","NAIROBI","0741120690","P051581389N",,"ANNE ","5.",1,29730,54375,72324.77,115003.76,0,271433.53,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
347,"PRESTIGE DISTRIBUTORS K LTD","THIKA","0721731752","P051320795E",,"PRISCA","21.",1,-105427,6173.09,15918.81,89508.81,0,6173.709999999977,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
348,"POWERPOINT SYSTEMS EA) LTD",,"0724542060","P052447160I",,"CAROL ","18.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
349,"JIUSHENG INTERNATIONAL LOGISTICS LTD K","OFF MSA ROADPARK EAST GATE RD","0797508668",,,"KENYON  ALOICE","11.",1,0,0,0,-411000,0,-411000,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
350,"TRONIC KENYA LIMITED","ENTERPRISES ROAD ","0740200200 0798200200","P051666275V",,"JUSTUS","24.",1,55569,16125,0,91616.31,0,163310.31,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
351,"DAVIS & SHIRTLIFF LTD","VIPINGO","0729620913 0101190994",,,"MOHAMED KASIM","6.",1,0,0,0,66500,0,66500,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
352,"POWERTEX  HARDWARE LTD","MOMBASA","0726330794  0726759780","P05151713828H",,"BENJAMIN","19.",1,1700,6000,29000,-0.3,0,36699.70000000001,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
353,"MALSAT TRADERS LTD",,"0707974585",,,"SAID/ABDALLAH/YUSUF","13.",1,0,0,0,34478.48,0,34478.47999999998,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
